uuid,awareness,vote,effect,arguments_for,arguments_against
ff7b5140-da3c-0133-c488-0a81e8b09a82,I have never heard of it,I would probably vote for it,Spend more time with my family,It increases appreciation for household work and volunteering,It is impossible to finance | It might encourage people to stop working
e6dfc4f0-d9a9-0133-82f9-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,Stop working,It encourages financial independence and self-responsibility,It is impossible to finance
a5eda070-da10-0133-00a0-0a81e8b09a82,I understand it fully,I would vote against it,Stop working,It reduces bureaucracy and administrative expenses,It is impossible to finance | It might encourage people to stop working | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit
6b384e80-d9ac-0133-8b4e-0a81e8b09a82,I know something about it,I would vote for it,Work as a freelancer,None of the above,It is impossible to finance
1d154f70-da4c-0133-52f3-0a81e8b09a82,I understand it fully,I would vote for it,Gain additional skills,It increases appreciation for household work and volunteering | It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working
f76538b0-d99d-0133-9506-0a81e8b09a82,I have heard just a little about it,I would probably vote against it,Do more volunteering work,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit
35c05800-d98e-0133-f0b9-0a81e8b09a82,I know something about it,I would vote for it,Gain additional skills,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit
8bdab6c0-da7b-0133-8a6a-0a81e8b09a82,I have heard just a little about it,I would vote against it,None of the above,None of the above,Only the people who need it most should get something from the state
2b5df810-dd8e-0133-06a3-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,Stop working,It encourages financial independence and self-responsibility,It increases dependence on the state
c3d8b750-da2b-0133-4849-0a81e8b09a82,I know something about it,I would probably vote for it,Do more volunteering work,It increases appreciation for household work and volunteering,It is impossible to finance
d8e01c40-dd49-0133-3eb3-0a81e8b09a82,I have heard just a little about it,I would vote against it,Look for a different job,It reduces bureaucracy and administrative expenses,Only the people who need it most should get something from the state
795c8130-de11-0133-fb1f-0a81e8b09a82,I know something about it,I would probably vote against it,A basic income would not affect my work choices,None of the above,Only the people who need it most should get something from the state | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
e6598fd0-da08-0133-2015-0a81e8b09a82,I know something about it,I would vote against it,A basic income would not affect my work choices,It creates more equality of opportunity,It is impossible to finance
cd62b730-d996-0133-73b5-0a81e8b09a82,I know something about it,I would vote for it,Spend more time with my family,It creates more equality of opportunity | It reduces anxiety about financing basic needs,None of the above
a8150a60-d9b4-0133-d3a8-0a81e8b09a82,I know something about it,I would probably vote against it,Look for a different job,It reduces bureaucracy and administrative expenses | It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit
6e4bcc10-d983-0133-7a9b-0a81e8b09a82,I have never heard of it,I would probably vote against it,Work as a freelancer,It creates more equality of opportunity,It might encourage people to stop working | It is impossible to finance
fb927a20-df72-0133-f0c9-0a81e8b09a82,I understand it fully,I would vote for it,Spend more time with my family,It reduces bureaucracy and administrative expenses,It is impossible to finance
43226000-db06-0133-c03c-0a81e8b09a82,I have heard just a little about it,I would probably vote for it,Do more volunteering work,It encourages financial independence and self-responsibility,It is impossible to finance
